atom_id 	 atom_type 	 (bonded_atom_id, bond_order, arithmetic_avg_stress, absolute_geometric_avg_stress:q!, bond_distance) 
  1 	   	   1 	  	    (2584 0.924000 1335053.235880 7249790488338.844727 1.599431), (1370 0.927000 1419239.601329 6518984129729.894531 1.592023), (3570 0.938000 1199121.449059 8429789335149.051758 1.556953), (2908 0.933000 1029903.317829 9898740817202.197266 1.573143), 
  2 	   	   1 	  	    (115 0.926000 605686.290144 10045535929878.634766 1.594221), (4709 0.943000 1012702.880399 6925745554929.343750 1.539879), (6485 0.922000 980956.624585 7169081246152.816406 1.604613), (23 0.934000 695415.867110 9357756912343.779297 1.568570), 
  3 	   	   2 	  	    (5225 0.934000 298692.004430 7199279057761.020508 1.570172), (1890 0.946000 382558.511628 7602010966299.429688 1.528454), 
  4 	   	   2 	  	    (2560 0.939000 851141.572536 7630746147483.155273 1.553634), (2658 0.933000 1056884.456257 8469927199484.916992 1.573369), 
  5 	   	   2 	  	    (398 0.929000 831299.021041 4620309059791.585938 1.583890), (1450 0.915000 719804.039867 4291768733321.780273 1.625969), 
  6 	   	   2 	  	    (3664 0.937000 1078789.439646 3511006542559.425781 1.559789), (4106 0.935000 162145.763012 1524937479631.217041 1.566014), 
  7 	   	   2 	  	    (6348 0.939000 600036.553710 6168389895339.262695 1.554654), (2722 0.947000 779411.915836 6869763144462.638672 1.525241), 
  8 	   	   1 	  	    (3748 0.931000 760142.352159 8799844682606.111328 1.579910), (700 0.926000 894682.755260 7771299700824.549805 1.593193), (43 0.937000 1095617.178295 6235180529809.945312 1.560615), (5096 0.922000 1390583.879291 3980196055922.583496 1.606051), 
  9 	   	   1 	  	    (2007 0.920000 1215644.208195 5145242894780.181641 1.610428), (3733 0.918000 846918.019934 7939575135028.125977 1.616339), (1798 0.932000 723303.140642 8876370658575.449219 1.577125), (5360 0.946000 647442.817276 9451265944257.062500 1.528295), 
  10 	   	   1 	  	    (4987 0.943000 597340.810631 7140118168570.381836 1.536735), (4134 0.933000 605244.598007 7087393681637.888672 1.573963), (4201 0.944000 690177.187154 6520826417876.733398 1.534111), (1052 0.540000 802567.946844 5771091530139.698242 2.096741), 
  11 	   	   2 	  	    (738 0.933000 1210634.099668 5679014121935.730469 1.573274), (1350 0.904000 833682.073090 4576570022671.578125 1.651800), 
  12 	   	   2 	  	    (3441 0.930000 195188.865449 6348756013179.200195 53.876968), (4863 0.916000 208959.778516 6412984484305.307617 46.113426), 
  13 	   	   2 	  	    (35 0.931000 1019296.389812 4972161532896.387695 1.580594), (207 0.936000 1267750.166113 5683963475604.268555 1.564895), 
  14 	   	   2 	  	    (3491 0.913000 1272360.150609 7649140987679.844727 1.632234), (3730 0.939000 657321.089701 5469460210098.958008 1.552624), 
  15 	   	   2 	  	    (6243 0.933000 760340.890365 8872438175300.857422 1.574040), (4294 0.945000 414891.393134 7273812008329.029297 1.532692), 
  16 	   	   2 	  	    (3281 0.927000 711151.486157 4302407724340.774902 1.591595), (2904 0.943000 939266.746401 4978357311401.506836 1.539051), 
  17 	   	   1 	  	    (5365 0.921000 1435623.140642 5276960223079.833008 1.609907), (1999 0.924000 1552134.821705 4311196611198.360840 1.599242), (3792 0.930000 794230.254707 10593456427617.617188 1.583475), (1064 0.901000 1368927.483942 5829799541194.168945 1.659145), 
  18 	   	   1 	  	    (1853 0.929000 1586021.377630 8655989470709.900391 1.585704), (750 0.928000 1543450.772979 9075598877119.390625 1.586759), (2660 0.932000 1680492.854928 7724804188367.079102 1.574838), (709 0.929000 1440740.784053 10087989418401.121094 1.585106), 
  19 	   	   1 	  	    (2915 0.918000 875201.594684 9864157654000.740234 1.616753), (2720 0.913000 1255517.342193 6718497307535.637695 1.630844), (329 0.943000 1036007.315615 8534104446556.525391 1.539852), (932 0.916000 1137417.512735 7695322361145.096680 1.623027), 
  20 	   	   2 	  	    (4503 0.921000 1300634.755260 7613741682354.973633 1.609003), (975 0.935000 1140159.397564 7052129481570.654297 1.564691), 
  21 	   	   2 	  	    (316 0.946000 1440501.926910 7076258740751.365234 1.528238), (1544 0.935000 927916.978959 5451763870111.383789 1.565056), 
  22 	   	   2 	  	    (4293 0.928000 1547631.929125 5003525644521.881836 1.588258), (2713 0.937000 2150256.637874 6416585880360.567383 1.558989), 
  23 	   	   2 	  	    (2 0.934000 695415.867110 9357756912343.779297 1.568570), (363 0.927000 793095.707641 9834762416480.384766 1.592397), 
  24 	   	   2 	  	    (5406 0.528000 1660294.555925 5967492513155.363281 2.105912), (6776 0.939000 1094885.386489 4504938208043.075195 1.552911), 
  25 	   	   2 	  	    (3321 0.922000 876656.513843 7024906456434.350586 1.604579), (3556 0.931000 1216209.328904 8325404321035.042969 1.578594), 
  26 	   	   1 	  	    (5964 0.929000 1496820.416390 5294884406568.924805 1.585364), (3301 0.920000 1496582.981174 5296898750272.094727 1.611653), (6677 0.938000 1458429.599114 5620582937557.917969 1.557051), (2116 0.928000 1642503.207087 4058946380561.229980 1.588153), 
  27 	   	   1 	  	    (3395 0.949000 930380.255260 6969598805108.527344 1.517078), (998 0.919000 876983.052049 7367891116863.351562 1.613041), (3370 0.936000 1004221.191584 6418815702969.744141 1.562690), (387 0.919000 975959.973422 6629617491034.113281 53.900379), 
  28 	   	   1 	  	    (4462 0.925000 1189260.363234 6549660730633.478516 1.598523), (4060 0.939000 1094085.926910 7313210307715.853516 1.554407), (1021 0.915000 1081158.609081 7416921434808.372070 1.624010), (1197 0.935000 764998.157254 9953360720486.556641 1.567003), 
  29 	   	   2 	  	    (1065 0.930000 182460.739756 10257037623116.001953 1.583512), (2748 0.940000 493747.455150 12140567303868.660156 1.549196), 
  30 	   	   2 	  	    (1389 0.904000 1291171.083056 9684200930950.552734 1.652227), (3603 0.923000 836797.980066 7795824978473.298828 1.601931), 
  31 	   	   2 	  	    (3870 0.899000 1503745.204873 5493622777529.878906 1.663494), (189 0.935000 1360239.911406 5125958785527.381836 1.566042), 
  32 	   	   2 	  	    (471 0.939000 1628900.013289 8047283661320.054688 1.552132), (1327 0.929000 595087.317829 4651670080702.365234 1.586542), 
  33 	   	   2 	  	    (3090 0.940000 1000301.820598 10382144191470.107422 1.549565), (4301 0.926000 702152.788483 8966812248798.341797 54.049728), 
  34 	   	   2 	  	    (4936 0.935000 693984.407530 6465907284556.844727 1.565835), (4395 0.935000 1416587.322259 9272252431083.937500 1.566457), 
  35 	   	   1 	  	    (1893 0.921000 928125.953488 5605076967866.449219 1.608296), (13 0.931000 1019296.389812 4972161532896.387695 1.580594), (5078 0.933000 403655.105205 9246012653345.798828 1.573502), (2879 0.931000 834452.553710 6255368256981.942383 1.580791), 
  36 	   	   2 	  	    (296 0.907000 1746687.096346 4348363192260.434082 1.644028), (165 0.938000 1624517.156146 4110504554094.547363 1.556014), 
  37 	   	   2 	  	    (4013 0.930000 675765.239756 3248948994439.489746 1.582954), (4971 0.912000 1185938.033223 4523595571891.798828 1.632676), 
  38 	   	   2 	  	    (307 0.936000 1313904.611296 8811436902083.970703 1.562253), (814 0.922000 495698.276855 5649412366623.406250 1.605484), 
  39 	   	   1 	  	    (6665 0.934000 606780.852713 6291421896744.519531 1.569773), (2669 0.911000 975998.846069 3937729642512.429688 1.634737), (777 0.928000 496189.486157 6996420156666.830078 1.586971), (430 0.908000 956741.756368 4060489810445.657227 1.642573), 
